pays;région;;;;;;;
Grèce;Athènes;;;;;;;
;;;;;;;;
categorie;nom;adresse;note;description;transport;url;lon;lat
Amis;Démosthene;Zoodochou Pigis 85, Athina 114 73, Grèce;;;;https://fr.wikipedia.org/?curid=74157;23.739202;37.986655
Musée;Memorial 1941-1944;Korai 4, Athina 105 64, Grèce;;Ancienne prison nazie;Métro ligne 2, Panepistimiou;https://vivreathenes.com/korai-4-une-ancienne-prison-nazie-a-athenes-reconvertie-en-musee.html?srsltid=AfmBOooAj4EV0wbd7sX9HX-Vel4LRbbrWrRJWjUlguVJNbIcRV_UUBzB;23.732728;37.980161
Restaurant;H Thraka (gyros);Imittou 58, Athina 116 34, Grèce;;Bons gyros à Pancrati;Trolley 2, Pancrati;https://e-thraka.gr/;23.752460;37.969286
Restaurant;Magerio;;;Resto dans Pancrati;Trolley 11 ou bus 209, Gefyra;;23.751598;37.964786
Restaurant;Stani;Marikas Kotopouli 10, Athina 104 32, Grèce;;Meilleurs yaourt d'Athènes;;http://www.stani1931.com/;23.727916;37.985643
Restaurant;Sklavenitis (supermarché);Athinas 62, Athina 105 51, Grèce;;;;https://fr.wikipedia.org/?curid=16280717;23.727986;37.983465
Restaurant;Lefteris O Politis (est. 1951);Satovriandou 20, Athina 104 32, Grèce;;Pas de gyros mais des burgers et soutsoukis (boulettes);;https://fr.wikipedia.org/?curid=833173;23.727356;37.985708
Restaurant;Zacharoplasteio Lido;Chremonidou 35, Athina 116 33, Grèce;;Les meilleurs tsourekis (brioches de pâques);trolley 2-11, Filolaou ou bus 209, Frynis;;23.750277;37.966022
Restaurant;Oinopantopoleui to eidikon;Psaron 38, Pireas 185 46, Grèce;;Epicerie taverne typique .... presque un musée;;;23.633864;37.953779
Restaurant;O Yorgos Souvlaki;Gounari 18 Νikita gonia, Pirée 18531 Grèce;;Super souvlakis au Pirée;;https://fr.wikipedia.org/?curid=5242721;23.644334;37.946509
Restaurant;Patisserie Kristakis;Sokratous 59, Athina 104 31, Grèce;;Loukoumades (beignets ua miel);;;23.726568;37.984192
Restaurant;Bougatsa Sabbas;Tzortz 10, Athina 106 77, Grèce;;Bougatsa;;;23.731754;37.985987
Restaurant;Remoútsiko Taverna;Leof. Agiou Dimitriou 120, Ag. Dimitrios 173 41, Grèce;;Taverne typique;Métro Ligne 2, Aghios Dimitrios;;23.730717;37.940418
Jardin;Jardin national d’Athènes;;;Parc ombragé idéal pour pause nature et observation.;;https://fr.wikipedia.org/wiki/Jardin_national_d%27Ath%C3%A8nes;23.738333;37.974167
Quartier;Kypséli;;;Quartier authentique au nord du musée national;;https://fr.wikipedia.org/wiki/Kyps%C3%A9li_(Ath%C3%A8nes);23.741523;38.002966
