pays;région;;;;;;;;
Grece;Crete;;;;;;;;
;;;;;;;;;
categorie;nom;adresse;note;description;transport;url;lon;lat;photo
Hôtel;Studio Seeview 4;Lentas, Grèce;3;Au premier étage, le studio est petit mais avec un balcon vue sur mer. Le parking est juste derrière.;;https://www.hotel-lentas.com/en/seaview-studios/location.html;24.922625;34.930374;./norby/studio_seaview.jpg
Resto;Nikitas;;5;"C'est notre spot ! Une vue grandiose, la table le plus au sud de l'Europe., sur une belle terrasse au dessus de la mer. On adore Nikitas et sa famille<br>
Bonnes grillades au feu de bois et cuisine familiale. Le vin (au pichet) n'est pas terrible. Pain maison.<b>Seulement le soir</b><br>";;;24.922446;34.929202;./norby/nikitas.jpg
Bar;Blue café;;5;"Café au bord de l'eau avec une vue géniale. Super spot le matin, en pleine chaleur, le soir
<br>Argyris est adorable, c'est lui qui fait aussi des excursions sur son bateau.";;https://blue-cafe-beach-cruises.webnode.gr/;24.922358;34.929702;./norby/blue_cafe.jpg
A faire;Aphrodites bleues;;5;"<b>Mon temple dans la montagne depuis presque 5 ans ! </b>J'y vais tous les matins au lever du soleil pour y passer une à deux heures. Magique ! <br>
L'endroit n'est pas exposé à la vue, le garder le plus possible secret. Une petite vidéo en lien pour trouver le chemin.";;https://eminet666.github.io/eminet_python/MyMaps/leaflet_maps/norby/;24.920718;34.927448;./norby/statuettes.jpg
Resto;Taverna Meltemi;;3;Tarverne au dessus de l'eau., super pour le déjeuner. Mais pas dans nos habitudes.;;;24.92352538658157;34.93029214612795;./norby/taverna_meltemi.jpg
Resto;Taverna Manouraki;;3;Une insitution dans le village. Souvent musique live le samedi soir. Mais pas dans nos habitudes.;;;24.923465254958856;34.930568096847104;./norby/taverna_manouraki.jpg
Resto;Taverna Porto Lenta;;3;Un bon spot pour le déjeuner vue sur la mer et pour le diner. Vin à la bouteille. Mais plus dans nos habitudes.;;;24.922454955010394;34.92994676462422;./norby/taverna_porto-lenta.jpg
Resto;Taverna El Greco;;5;La meilleure table du village. Tenue par 3 frères, agréable terrasse au dessus de l'eau. Un petit bémol, le service est un peu lent. Vin à la bouteille.;;;24.924367247942993;34.93075846675119;./norby/taverna_elgreco_2.jpg
Antique;Phaestos;;5;L'autre grand site archéologique de Crète après Cnossos, plus célèbre par sa reconstruction partielle contestée. La vue sur les alentour est magnifique, mais les vestiges peuvent apparaitre décevants mais authentique (contrairement au disque de Phaestos, exposé au musée d'Héraklion et sur les cartes postels, dont on doute aujourd'hui de l'authenticité).;;https://fr.wikipedia.org/wiki/Phaistos;;;./norby/phaestos.jpg
Antique;Gortyne (site payant);;3;"Gortyne a été la capitale de la Crète pendant 800 ans, à partir de l'invasion romaine. Le site est célèbre pour ses lois gravées en boustrophédon mais un tremblement de terre récent en limite l'accès par des échaffaudage. C'est quand même unique.<br>
Ce serait aussi le lieu où Zeus se serait accouplé sous un platane toujours vert avec Europe qu'il a enlevée, dont il a 3 enfants dont Minos. Le platane est toujours là mais en mauvais état ;-)";;https://fr.wikipedia.org/wiki/Gortyne;;;
